Location,Price,İlan Tarihi,İlan no,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Krediye Uygun,Isıtma Tipi,Bina Yaşı,"Görüntülü Ev Gezintisi
?",Mobilya Durumu,Kullanım Durumu,Yapının Durumu,Depozito,Aidat,Kimden,Konut Şekli,Hayvan Dostu Patili Evler,Tapu Durumu,m²,Bölüm/Oda Sayısı,Kapalı Alan,Yapı Tipi,Dış Cephe,Zemin Etüdlü,Ada,Parsel,Otopark,Devren,Tavan Yüksekliği,Arsa Alanı,Takasa Uygun,Kat Yüksekliği,Yıldız Sayısı,Kapasite,Kiralama Süresi,İmar Durumu,Parselli
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mevlana, Sancaktepe
, İstanbul",13.000 TL,19 Haziran 2024,5033964,80,85m²,2+1,1,4,1,Hayır,Kombi (Doğalgaz),3,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Şenlikköy, Bakırköy
, İstanbul",135.000 TL,19 Haziran 2024,5056918,170,187m²,3+1,3,5,1,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,Eşyalı (Mobilyalı),Mülk Sahibi,İkinci El,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Levent, Beşiktaş
, İstanbul",360.000 TL,19 Haziran 2024,5073547,,,,,6,5,Hayır,Merkezi Sistem,16-20 arası,,,Boş,,,,Danışman,,,Kat Mülkiyeti,700m²,11,,,,,,,,,,,,,,,,,
"Siyavuşpaşa, Bahçelievler
, İstanbul",15.500 TL,19 Haziran 2024,4853389,80,90m²,3+1,1,5,4,Hayır,,31-35 arası,?,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ünalan, Üsküdar
, İstanbul",25.000 TL,19 Haziran 2024,5024067,70,80m²,2+1,1,3,3,Hayır,Kombi (Doğalgaz),0,?,,Boş,Sıfır,0 TL undefined,600 TL (aylık),Danışman,Teras Katı,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merkez, Şişli
, İstanbul",36.000 TL,19 Haziran 2024,5033286,50,72m²,1+1,1,20 ve üzeri,7,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",1.250.000 TL,19 Haziran 2024,5042306,,,,,20 ve üzeri,18,Hayır,,,,,Boş,,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,1500m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levent, Beşiktaş
, İstanbul",350.000 TL,19 Haziran 2024,5073537,,,,,5,2,Hayır,Merkezi Sistem,16-20 arası,,,Boş,,,,Danışman,,,Kat Mülkiyeti,450m²,4,,,,,,,,,,,,,,,,,
"Gayrettepe, Beşiktaş
, İstanbul",240.000 TL,19 Haziran 2024,4196602,,,,,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem,16-20 arası,,,Boş,,0 TL undefined,0 TL (aylık),Danışman,,,Kat Mülkiyeti,330m²,,,,,,,,,,,,,,,,,,
"Esentepe, Şişli
, İstanbul",1.700.000 TL,19 Haziran 2024,5042260,,,,,,11,Hayır,,,,,Boş,,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,1250m²,,,,,,,,,,,,,,,,,,
"İnönü, Şişli
, İstanbul",45.000 TL,19 Haziran 2024,5033310,100,130m²,3+1,2,9,Giriş Katı,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,45.000 TL undefined,5.000 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",2.500.000 TL,19 Haziran 2024,5042312,,,,,,18,Hayır,,,,,Boş,,0 TL,0 TL (aylık),,,,Kat Mülkiyeti,3000m²,,,,,,,,,,,,,,,,,,
"Merkez, Şişli
, İstanbul",35.000 TL,19 Haziran 2024,5033309,45,74m²,1+1,1,20 ve üzeri,16,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,70.000 TL,6.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Türkali, Beşiktaş
, İstanbul",147.500 TL,19 Haziran 2024,5033312,125,,,,6,,Hayır,Kombi (Doğalgaz),,,,Boş,,0 TL,0 TL (aylık),,,,Kat İrtifakı,150m²,,,,,,,,,,,,,,,,,,
"Fulya, Şişli
, İstanbul",1.750.000 TL,19 Haziran 2024,5042282,,,,,20 ve üzeri,2,Hayır,Kombi (Doğalgaz),5,,,Boş,,0 TL,0 TL (aylık),,,,Kat Mülkiyeti,3550m²,1,,,,,,,,,,,,,,,,,
"Tuna, Esenler
, İstanbul",15.000 TL,19 Haziran 2024,5023980,128,130m²,3+1,1,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Çınar, Bağcılar
, İstanbul",13.500 TL,19 Haziran 2024,5024102,,,,,5,,Hayır,,26-30 arası,,,Boş,İkinci El,15.000 TL undefined,,Danışman,,,Hisseli Tapu,130m²,,,,,,,,,,3.5 (metre),150 (m²),,,,,,,
"Cumhuriyet, Şişli
, İstanbul",25.000 TL,19 Haziran 2024,5033322,130,140m²,3+1,1,5,3,Hayır,Kombi (Doğalgaz),36-40 arası,,Eşyasız,Boş,İkinci El,50.000 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Hamidiye, Kağıthane
, İstanbul",850.000 TL,19 Haziran 2024,5042345,515,,,,10-20 arası,Giriş Katı,Hayır,,0,,,Boş,,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,955m²,1,,,,,,,,,,,,,,,,,
"Yenidoğan, Bayrampaşa
, İstanbul",15.000 TL,19 Haziran 2024,5035230,120,130m²,,,2,En Üst Kat,Hayır,Kombi (Doğalgaz),36-40 arası,,,,,15.000 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Levent, Beşiktaş
, İstanbul",360.000 TL,19 Haziran 2024,5073544,,,,,6,3,Hayır,Merkezi Sistem (Isı Payı Ölçer),16-20 arası,,,Boş,,,,Danışman,,,Kat Mülkiyeti,600m²,6,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",2.700.000 TL,19 Haziran 2024,5042244,,,,,5,,Hayır,Merkezi Sistem,5,,,Boş,,0 TL,0 TL (aylık),,,,Kat Mülkiyeti,7000m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merkez, Şişli
, İstanbul",40.000 TL,19 Haziran 2024,5033297,50,74m²,1+1,1,20 ve üzeri,18,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,80.000 TL,3.700 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Yenibosna Merkez, Bahçelievler
, İstanbul",80.000 TL,19 Haziran 2024,5085659,,,,,,1,Hayır,,,,,Boş,,,,,,,,350m²,,,,,,,,,,,,,,,,,,
"Cihangir, Avcılar
, İstanbul",16.000 TL,19 Haziran 2024,5056941,80,90m²,2+1,1,5,4,Hayır,Kombi (Doğalgaz),16-20 arası,?,Eşyalı (Mobilyalı),Boş,İkinci El,,50 TL (aylık),Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Zümrütevler, Maltepe
, İstanbul",79.250 TL,19 Haziran 2024,5085702,105,266m²,3+1,2,10-20 arası,16,Hayır,Merkezi Sistem (Isı Payı Ölçer),1,,,Boş,Sıfır,178.000 TL,4.815 TL (aylık),,Tek Kat,,,,,,,,,,,,,,,,,,,,,
"Huzur, Sarıyer
, İstanbul",5.000.000 TL,19 Haziran 2024,5042241,,,,,7,Giriş Katı,Hayır,Kombi (Doğalgaz),6-10 arası,,,Boş,,0 TL undefined,0 TL (aylık),,,,Kat Mülkiyeti,15500m²,,,,,,,,,,,,,,,,,,
"Barış, Beylikdüzü
, İstanbul",25.000 TL,19 Haziran 2024,5007131,50,75m²,1+1,1,8,5,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Eşyalı (Mobilyalı),Boş,Sıfır,25.000 TL undefined,1.300 TL (aylık),Danışman,,,,,,,,,,,,,,,,,,,,,,
"Merkez, Gaziosmanpaşa
, İstanbul",10.000 TL,19 Haziran 2024,5035229,20,,,,,Zemin Kat,Hayır,,,,,,,20.000 TL undefined,730 TL (aylık),,,,,25m²,1,,,,,,,,,,,,,,,,,
"Gayrettepe, Beşiktaş
, İstanbul",35.000 TL,18 Haziran 2024,5055940,,,,,7,2,Hayır,Kombi (Doğalgaz),40 ve üzeri,,,Boş,,70.000 TL undefined,1.100 TL (aylık),Danışman,,,Kat Mülkiyeti,145m²,5,,,,,,,,,,,,2 (metre) undefined,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",270.000 TL,18 Haziran 2024,4330200,176,242m²,3+1,3,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Eşyasız,Boş,Sıfır,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Acıbadem, Kadıköy
, İstanbul",140.000 TL,18 Haziran 2024,5006224,149,205m²,3+1,2,10-20 arası,13,Hayır,Merkezi Sistem (Isı Payı Ölçer),3,?,,Boş,İkinci El,280.000 TL undefined,,Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Gazi, Sultangazi
, İstanbul",10.000 TL,19 Haziran 2024,5035249,,,,,5,,Hayır,Klima,,,,,İkinci El,0 TL,,,,,,70m²,,,,,,,,,,,,,,,,,,
"Yeşilkent, Esenyurt
, İstanbul",7.000 TL,19 Haziran 2024,5073506,80,100m²,2+1,1,5,Bahçe katı,Hayır,,6-10 arası,,Eşyasız,Boş,,7.000 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zümrütevler, Maltepe
, İstanbul",28.250 TL,19 Haziran 2024,5085643,70,101m²,2+1,1,10-20 arası,2,Hayır,Merkezi Sistem (Isı Payı Ölçer),1,,,,Sıfır,80.250 TL undefined,4.373 TL (aylık),,Tek Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bozkurt, Şişli
, İstanbul",30.000 TL,19 Haziran 2024,5033328,100,,,,5,,Hayır,Kombi (Doğalgaz),,,,Boş,,30.000 TL undefined,50 TL (aylık),,,,Kat Mülkiyeti,110m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",300.000 TL,18 Haziran 2024,4495701,300,349m²,4+1,4,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,,Eşyasız,Boş,Sıfır,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",230.000 TL,18 Haziran 2024,4495990,160,240m²,3+1,3,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem (Isı Payı Ölçer),,?,Eşyasız,Boş,Sıfır,280.000 TL undefined,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Gültepe, Kağıthane
, İstanbul",17.000 TL,18 Haziran 2024,4916289,45,50m²,1+1,1,4,,Hayır,,21-25 arası,?,Sadece Beyaz Eşya,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mecidiyeköy, Şişli
, İstanbul",175.000 TL,19 Haziran 2024,5006632,120,160m²,2+1,2,20 ve üzeri,20 ve üzeri,Hayır,Kalorifer (Doğalgaz),3,?,Eşyasız,Boş,Sıfır,350.000 TL,,Danışman,,Evet,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Temmuz, Bağcılar
, İstanbul",320.000 TL,18 Haziran 2024,5073216,,,,,6,,Hayır,Yok,6-10 arası,,,,,0 TL undefined,,,,,,1560m²,,,,,,,,"Var (Ücretsiz, Açık)",,,,,,,,,,
"15 Temmuz, Bağcılar
, İstanbul",100.000 TL,18 Haziran 2024,5073212,,,,,6,,Hayır,Yok,6-10 arası,,,,,0 TL undefined,,,,,,520m²,,,,,,,,"Var (Ücretsiz, Açık)",,,,,,,,,,
"Güneşli, Bağcılar
, İstanbul",1.914.000 TL,19 Haziran 2024,5073479,480,500m²,,,,,Hayır,,,,,,,,,,,,,,6,,,,,,,,,,,,,5,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cihannüma, Beşiktaş
, İstanbul",50.000 TL,18 Haziran 2024,5055914,85,100m²,3+1,2,6,2,Hayır,Kombi (Doğalgaz),1,,Eşyasız,Boş,,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Tarabya, Sarıyer
, İstanbul",40.000 TL,18 Haziran 2024,5055913,110,132m²,3+1,2,3,Bahçe katı,Hayır,Kombi (Doğalgaz),31-35 arası,,Eşyasız,Boş,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mimar Sinan, Esenler
, İstanbul",1.500 TL,19 Haziran 2024,5057380,20,25m²,1+0 (Stüdyo),1,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cevizli, Maltepe
, İstanbul",27.500 TL,17 Haziran 2024,5085563,37,53m²,1+1,1,6,1,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,Eşyalı (Mobilyalı),Boş,,50.000 TL,4.980 TL (aylık),,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Esentepe, Şişli
, İstanbul",113.000 TL,18 Haziran 2024,5073204,107,138m²,2+1,2,5,2,Hayır,Merkezi Sistem (Isı Payı Ölçer),2,?,Eşyalı (Mobilyalı),Boş,İkinci El,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Esentepe, Şişli
, İstanbul",460.000 TL,18 Haziran 2024,5073303,420,490m²,4+1,3,10-20 arası,,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,Eşyasız,Boş,İkinci El,,,Danışman,Dubleks,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Bağlarçeşme, Esenyurt
, İstanbul",20.000 TL,19 Haziran 2024,5056793,,,,,,,Hayır,,,,,,,,,,,,,100m²,,,,,,,,,,,,,,,,,,
"Zafer, Bahçelievler
, İstanbul",10.000 TL,18 Haziran 2024,5073351,50,,,,4,Giriş Katı,Hayır,Yok,26-30 arası,,,Boş,,20.000 TL undefined,,Danışman,,,,60m²,2,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levazım, Beşiktaş
, İstanbul",175.000 TL,18 Haziran 2024,5073431,250,270m²,3+1,3,6,5,Hayır,Merkezi Sistem,,?,Eşyalı (Mobilyalı),Mülk Sahibi,İkinci El,,5.500 TL (aylık),,Dubleks,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Osmanağa, Kadıköy
, İstanbul",45.000 TL,18 Haziran 2024,5023162,165,,,,6,1,Hayır,Yok,40 ve üzeri,,,Boş,,45.000 TL undefined,,Danışman,,,,170m²,3,,,,,,,,,,,,,,,,,
"Telsizler, Kağıthane
, İstanbul",30.000 TL,17 Haziran 2024,5085544,75,80m²,2+1,1,5,,Hayır,Kombi (Doğalgaz),5,,Eşyalı (Mobilyalı),Boş,İkinci El,30.000 TL,1 TL (aylık),Danışman,,Evet,,,,,,,,,,,,,,,,,,,,
"Deliklikaya, Arnavutköy
, İstanbul",10.500 TL,18 Haziran 2024,5073441,70,84m²,2+1,1,10,7,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,?,Eşyasız,Boş,İkinci El,21.000 TL undefined,1.400 TL (aylık),Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Ömer Avni, Beyoğlu
, İstanbul",47.000 TL,18 Haziran 2024,4957087,65,85m²,1+1,1,5,2,Hayır,Merkezi Sistem,16-20 arası,,Eşyalı (Mobilyalı),,İkinci El,,,Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Hamidiye, Kağıthane
, İstanbul",150.000 TL,18 Haziran 2024,5056064,185,200m²,3+1,2,9,7,Hayır,Merkezi Sistem (Isı Payı Ölçer),3,?,Eşyalı (Mobilyalı),Boş,İkinci El,,,Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Küçükbakkalköy, Ataşehir
, İstanbul",34.000 TL,17 Haziran 2024,5072951,,,,,,6,Hayır,Kombi (Doğalgaz),16-20 arası,,,,,0 TL undefined,0 TL (aylık),,,,,130m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",350.000 TL,17 Haziran 2024,4630407,250,346m²,5+1,4,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem (Isı Payı Ölçer),,?,Eşyasız,Boş,Sıfır,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Atatürk, Ataşehir
, İstanbul",26.000 TL,17 Haziran 2024,5005888,60,85m²,1+1,1,9,8,Hayır,,26-30 arası,,Eşyalı (Mobilyalı),Mülk Sahibi,İkinci El,,,Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Kazlıçeşme, Zeytinburnu
, İstanbul",135.000 TL,17 Haziran 2024,4918403,160,220m²,3+1,2,10-20 arası,16,Hayır,Merkezi Sistem (Isı Payı Ölçer),2,?,Sadece Beyaz Eşya,Boş,,0 TL undefined,0 TL (aylık),,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Şifa, Tuzla
, İstanbul",17.500 TL,17 Haziran 2024,4690689,85,95m²,2+1,1,10-20 arası,7,Hayır,Kombi (Doğalgaz),,?,Eşyalı (Mobilyalı),Kiracılı,İkinci El,,955 TL (aylık),Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vişnezade, Beşiktaş
, İstanbul",42.000 TL,17 Haziran 2024,5072932,110,,,,,Zemin Kat,Hayır,Merkezi Sistem,,,,Boş,,0 TL undefined,10.500 TL (aylık),Danışman,,,Kat İrtifakı,130m²,3,,,,,,,,,,,,,,,,,
"Pınartepe, Büyükçekmece
, İstanbul",38.000 TL,17 Haziran 2024,4917719,200,225m²,4+1,2,7,3,Hayır,Kombi (Doğalgaz),6-10 arası,,,Mülk Sahibi,İkinci El,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Çakmak, Ümraniye
, İstanbul",42.000 TL,17 Haziran 2024,4918596,62,99m²,2+1,1,20 ve üzeri,20 ve üzeri,Hayır,Klima,1,?,Eşyasız,Boş,,0 TL,0 TL (aylık),,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seyrantepe, Kağıthane
, İstanbul",32.000 TL,17 Haziran 2024,4939385,75,85m²,1+1,1,10,8,Hayır,Yerden Isıtma,3,,Eşyasız,Boş,İkinci El,64.000 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",35.000 TL,17 Haziran 2024,4939478,65,85m²,1+1,1,20 ve üzeri,6,Hayır,Yerden Isıtma,5,,Eşyalı (Mobilyalı),Boş,Sıfır,70.000 TL undefined,2.000 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Ataköy 2-5-6. Kısım, Bakırköy
, İstanbul",30.500 TL,17 Haziran 2024,4983282,110,120m²,3+1,1,10-20 arası,13,Hayır,Merkezi Sistem,36-40 arası,,,Boş,İkinci El,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",35.000 TL,17 Haziran 2024,4939384,65,85m²,1+1,1,20 ve üzeri,,Hayır,Yerden Isıtma,6-10 arası,,Eşyalı (Mobilyalı),Boş,Sıfır,70.000 TL,2.000 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumhuriyet, Üsküdar
, İstanbul",25.000 TL,17 Haziran 2024,5085555,120,125m²,3+1,1,5,Bahçe katı,Hayır,,6-10 arası,,Eşyasız,Kiracılı,İkinci El,25.000 TL undefined,250 TL (aylık),Danışman,Bahçe Katı,,,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",210.000 TL,17 Haziran 2024,4630561,160,221m²,3+1,2,20 ve üzeri,19,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Eşyasız,Boş,Sıfır,,,Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ambarlı, Avcılar
, İstanbul",15.000 TL,17 Haziran 2024,5055498,240,250m²,5+2,2,4,4,Hayır,Kombi (Doğalgaz),26-30 arası,?,Eşyasız,,İkinci El,15.000 TL undefined,100 TL (aylık),Danışman,Dubleks,,,,,,,,,,,,,,,,,,,,,
"15 Temmuz, Bağcılar
, İstanbul",110.000 TL,17 Haziran 2024,5041776,,,,,5,,Hayır,Kombi (Doğalgaz),21-25 arası,,,,,25 TL,0 TL (aylık),,,,Arsa Tapulu,1000m²,9,,,,,,,,,,,,,,,,,
"Yakuplu, Beylikdüzü
, İstanbul",25.000 TL,17 Haziran 2024,5073007,120,130m²,2+1,2,5,5,Hayır,Central System (Heat Share Meter),0,?,Unfurnished,Vacant,New Building,,,Agent,Intermediate Floor,Yes,Condominium,,,,,,,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",35.000 TL,17 Haziran 2024,4939451,65,85m²,1+1,1,20 ve üzeri,10,Hayır,Yerden Isıtma,5,,Eşyasız,Boş,Sıfır,70.000 TL,2.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Seyrantepe, Kağıthane
, İstanbul",90.000 TL,17 Haziran 2024,4980770,220,255m²,4+1,3,10,4,Hayır,Kombi (Doğalgaz),4,,Eşyasız,Boş,İkinci El,180.000 TL undefined,4.000 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Seyrantepe, Kağıthane
, İstanbul",90.000 TL,17 Haziran 2024,4980766,220,255m²,4+1,3,10,3,Hayır,Kombi (Doğalgaz),2,,Eşyasız,Boş,Sıfır,180.000 TL undefined,4.000 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Cumhuriyet, Şişli
, İstanbul",45.000 TL,18 Haziran 2024,4980440,100,125m²,2+1,2,20 ve üzeri,17,Hayır,Merkezi Sistem (Isı Payı Ölçer),11-15 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"İstiklal, Beyoğlu
, İstanbul",68.000 TL,17 Haziran 2024,5072995,140,160m²,3+1,2,9,7,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Eşyalı (Mobilyalı),Boş,Sıfır,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Osmanağa, Kadıköy
, İstanbul",120.000 TL,17 Haziran 2024,4914072,,,,,4,4,Hayır,Kombi (Doğalgaz),0,,,Boş,,240.000 TL undefined,,Danışman,,,,150m²,1,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Güneşli, Bağcılar
, İstanbul",60.000 TL,17 Haziran 2024,5073127,,,,,4,,Hayır,Yok,21-25 arası,,,,,0 TL undefined,,,,,,500m²,,,,,,,,,,,,,,,,,,
"15 Temmuz, Bağcılar
, İstanbul",11.000 TL,17 Haziran 2024,5073132,,,,,4,,Hayır,Yok,26-30 arası,,,,,0 TL,,,,,,105m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hürriyet, Bağcılar
, İstanbul",1.300.000 TL,17 Haziran 2024,5073135,100,,,,6,Giriş Katı,Hayır,Klima,6-10 arası,,,Kiracılı,,0 TL,0 TL (aylık),,,,,110m²,1,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bağlarçeşme, Esenyurt
, İstanbul",120.000 TL,17 Haziran 2024,5072890,,,,,,,Hayır,Kombi (Doğalgaz),5,,,Boş,İkinci El,0 TL undefined,,,,,,2200m²,,,,,Evet,,,,,,,,,,,,,
"Maslak, Sarıyer
, İstanbul",60.000 TL,18 Haziran 2024,4980420,130,170m²,3+1,2,20 ve üzeri,,Hayır,Merkezi Sistem (Isı Payı Ölçer),6-10 arası,,Eşyasız,Boş,İkinci El,0 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
